ID number,Dualite,Coding test (out of 20),HW-1,HW-2,Test 0,Test 1,Test 2,Team Number,Project Proposal,Project Midsem,Project Compre,PCT (with buffer),Compre part A,Compre part B,Compre Total,Post Compre Total
e62178db,0,,0,,17,14.5,33.4,16,9,15,45,119.4,14,55.4,69.41587,189
b375ec8f,1,14,0,4,40,12,37.8,6,9,26.2,50,163,22.5,7,29.47015,192
c40cf50a,1,20,3,5.5,39.5,12,28,20,9,21.5,42,140,25,20.3,45.336,185
5532455e,0,,,,14,0,41,4,6.43,23.4,45,129.83,20.5,19.1,39.57687,169
466f78bc,0,,,,3,31.5,18,17,9,18.5,36,113,3,13.3,16.34,129
8fe16d18,0,,0,5,27,12.5,42.2,8,8.57,18,43,138.77,19,25.4,44.43955,183
235edf50,1,,3,4.5,24.5,9,30.2,13,9,23.3,42,129,31,17.4,48.37335,177
79cd8b0e,0,15,3,5,48,18,42.2,8,8.57,18,42,158.77,31,34.8,65.76321,225
1207bc87,1,18,3,,46,4.5,18,13,9,23.3,42,138.3,31,18.8,49.77305,188
feae1196,0,,,3.5,16.5,6.5,18,17,9,18.5,41,103,15,48.8,63.83875,167
4cb96ee8,1,14,,,29,0,42.1,6,9,26.2,50,156.3,25,42,67.004,223
60790f95,0,,3,4.5,26.5,14,34.2,9,9,13.6,41,124.3,22,23,45.03318,169
eb4103a4,0,4,,,23,0,41,4,6.43,23.4,43,136.83,19,10,29,166
e08d4823,1,0,,3.5,26.5,7,38.6,2,8.57,24.1,33,130.77,5,27,32,163
c0b67434,1,,,,12,7,29,21,9,0,45,95,19.5,25.5,45.02376,140
69d81e95,0,,,,14,11,18,1,9,21.75,45,107.75,18,8,26.004,134
b6653ca7,0,15,3,,31,18.5,18,17,9,18.5,45,122,13,29.4,42.38469,164
9858120f,0,,,,12,3,18,18,9,15.5,43,97.5,6,6,12,110
6c387314,1,,3,4,33,6,38.6,7,9,24.9,50,155.5,17,48.4,65.40003,221
e6ea36fc,0,,,,12,0,18,18,9,15.5,24,78.5,4.5,26.8,31.34942,110
3170208e,1,16,3,,44,14,37.8,6,9,26.2,50,167,25,26.5,51.52159,219
e8d9f7a5,1,0,3,4,31,11,36.3,15,6,24.2,45,142.5,25,36.5,61.5426,204
0a9ce21b,0,0,3,5.5,33.5,9,32.6,7,8.14,24.9,50,149.14,23,49,71.98699,221
430ef421,1,0,3,5.5,34.5,7,36.3,15,6,24.2,44,145,9,26.3,35.339,180
e42821a1,1,15,3,,40,13,41,10,6.43,26.1,48,161.53,23,32.7,55.72736,217
ff8ee419,0,,3,5,27,18,27.5,12,8.57,18.1,45,126.17,23,50,73.01,199
5fd3c6d4,0,8.5,,,11.5,0,31.7,14,8.14,17.3,0,68.64,12,22,34.03018,103
58efdc78,1,5,3,4,36,6,41,3,9,26.3,43,155.3,20.5,47.8,68.26488,224
2fe2e73f,0,,,5,29,9.5,45,11,7.71,20.6,41,143.31,23,13.3,36.334,180
de127821,1,0,3,3.5,32.5,10,38.6,2,9,24.1,33,137.2,22,47.7,69.73203,207
29f3614d,0,15,3,5.5,44.5,25,18,1,9,21.75,46,146.25,13.5,15.7,29.168,175
7be83458,0,,3,4.5,31.5,13.5,39.7,1,8.57,21.75,46,147.52,17.5,21.1,38.59888,186
1f84f2e8,0,11,3,5,42,12,24,12,8.57,18.1,45,137.67,33,58.2,91.16508,229
0946ba54,1,,3,4,30,20,39.7,3,9,26.3,45,150,16,33.6,49.56261,200
2a65bb2f,0,,3,4,32,0,24,12,8.57,18.1,45,127.67,13,46.7,59.668,187
284d9117,1,0,3,5.5,33.5,5.5,38.6,2,9,24.1,45,150.2,13,58.7,71.672,222
f57b8ae3,0,,,,7,2,18,19,3.86,17,39,84.86,3,25.3,28.336,113
f63afdb4,0,,,5,26,26,45,11,7.71,20.6,41,140.31,30.5,16.3,46.838,187
8d90882e,1,,,,12,13,30,10,6.43,26.1,29,104.53,13,35,48,153
7096dc21,0,20,3,4.5,47.5,9,38,5,8.57,25.4,47.5,166.97,24,34.3,58.29631,225
b632809b,0,17.5,3,5,43.5,10,18,15,6,24.2,44,135.7,21,28.4,49.38669,185
424fa330,0,,3,4,26,24.5,31,14,8.57,17.3,0,82.87,16.5,11,27.5,110
eb0ebb88,0,,,,19,8.5,41.6,11,7.71,20.6,41,129.91,28,59.7,87.69151,218
3d6a7f87,1,,0,,20,10.5,18,13,9,23.3,42,112.3,22,45,67,179
553c8a9b,0,,3,5.5,27.5,5.5,30,10,6.43,26.1,49,139.03,21.5,18.4,39.93955,179
394727a6,0,,,,17,8,18,19,3.86,17,40,95.86,14.5,11.3,25.834,122
6d696c74,0,20,3,5,46,0,33.4,16,9,15,45,148.4,24.5,12.1,36.62506,185
d42007b5,0,0,3,5,30,6,24.6,3,9,26.3,45,134.9,20.5,38.1,58.64757,194
53e4ed67,1,,3,3.5,27.5,13,20,14,8.14,17.3,0,72.94,21,20,41.02601,114
a58dbb4e,0,0,3,,29,8,32.6,7,8.14,24.9,50,144.64,21,35.6,56.58212,201
943d33d0,1,0,3,4,24,6,34.2,18,9,15.5,43,125.7,20,26.3,46.34,172
b9188b5e,0,13,,4,35,9,40,8,8.57,18,43,144.57,24,15.2,39.17692,184
d3c4e174,0,11,3,3,30,7,39.7,5,8.57,25.4,47.5,151.17,28,24.9,52.91829,204
7218c4c7,0,,,,15,12.5,18,17,9,18.5,36,96.5,10.5,39.4,49.87802,146
fbb4714b,0,0,3,4.5,24.5,7,18,9,9,13.6,41,106.1,19,52.4,71.38619,177
3f07691b,0,15,3,4,39,5,22,9,9,13.6,39,122.6,13,15,28,151
1be20002,0,17.5,,4.5,43,9,38,5,9,25.4,47.5,162.9,13.5,65.2,78.65524,242
